"id";"customer_id";"order_date";"price";"cogs";"payment_method";"sku_name";"category";"qty_ordered";"before_discount";"discount_amount";"after_discount";"is_gross";"is_valid";"is_net";"brand"
"ODR1111336599a";"C993531L";"2022-02-23";62002.0;51156.0;"jazzwallet";"emart_Magic Hose Pipe 75 Ft";"Home & Living";1;62002.0;0.0;62002.0;1;0;0;"others"
"ODR1116457650x";"C517907L";"2022-10-08";159500.0;97266.0;"cod";"sheraton_FMOTORS_01";"Health & Sports";1;159500.0;0.0;159500.0;1;1;1;"others"
"ODR1119282607l";"C192625L";"2021-08-07";919300.0;671060.0;"ublcreditcard";"tcl_ 24 inch D2720 HD Ready LED TV";"Entertainment";1;919300.0;0.0;919300.0;1;0;0;"others"
"ODR1119964698b";"C225180L";"2021-08-11";59856.0;53824.0;"cod";"phub_Hope  by Rasasi 75ml  EDP";"Beauty & Grooming";1;59856.0;0.0;59856.0;1;1;1;"others"
"ODR1120310291y";"C708473L";"2021-09-18";34510.0;29290.0;"cod";"Progressive_9781474813860";"Books";1;34510.0;0.0;34510.0;1;1;1;"others"
"ODR1120954274s";"C504900L";"2021-11-20";121800.0;59160.0;"cod";"Aladdin_Wrench_Snap N Grip_01";"Others";1;121800.0;0.0;121800.0;1;1;0;"others"
"ODR1123439651p";"C218108L";"2021-06-11";98600.0;68672.0;"cod";"vitamin_Vita Growth";"Health & Sports";1;98600.0;0.0;98600.0;1;1;1;"others"
"ODR1126180881t";"C875194L";"2022-01-14";57420.0;51098.0;"cod";"nutrifactor_NF002";"Health & Sports";2;114840.0;0.0;114840.0;1;1;0;"others"
"ODR1129414841e";"C652751L";"2022-07-26";4756000.0;3757240.0;"cod";"Ifitness_T300";"Health & Sports";1;4756000.0;0.0;4756000.0;1;0;0;"others"
"ODR1130362205c";"C702126L";"2021-09-23";219820.0;175856.0;"cod";"BO_funballs-CR-100";"Kids & Baby";1;219820.0;0.0;219820.0;1;1;0;"others"
"ODR1131384330p";"C597119L";"2022-04-16";28942.0;11716.0;"cod";"emart_0-64";"Home & Living";3;86826.0;0.0;86826.0;1;1;1;"others"
"ODR1131476208d";"C356814L";"2021-11-20";809100.0;606796.0;"cod";"MORG_GCS 27";"Health & Sports";1;809100.0;0.0;809100.0;1;0;0;"others"
"ODR1132131859d";"C800136L";"2022-01-05";264480.0;224808.0;"cod";"IKEA_50139877";"Home & Living";1;264480.0;0.0;264480.0;1;1;0;"others"
"ODR1134642269p";"C479992L";"2022-04-24";3069360.0;2332702.0;"cod";"plk_PD/ 988 873_60";"Men Fashion";1;3069360.0;0.0;3069360.0;1;1;1;"others"
"ODR1137425622e";"C872421L";"2021-10-23";19140.0;17226.0;"cod";"RS_Baklawa 500gm";"Soghaat";50;957000.0;0.0;957000.0;1;1;1;"others"
"ODR1138415240o";"C845061L";"2022-02-07";96570.0;74356.0;"cod";"sehgalmotors_268986";"Superstore";1;96570.0;0.0;96570.0;1;1;1;"others"
"ODR1139009608g";"C452735L";"2022-01-15";182700.0;131544.0;"cod";"emart_Dry Iron NI-22awt";"Appliances";1;182700.0;0.0;182700.0;1;1;1;"others"
"ODR1139685121i";"C374625L";"2021-08-13";104168.0;70238.0;"cod";"liberty_9780751565355";"Books";1;104168.0;0.0;104168.0;1;1;1;"others"
"ODR1139724476z";"C908348L";"2021-08-20";75342.0;49706.0;"cod";"Rubian_alphatronix-7019-1926235-1-zoom";"Kids & Baby";1;75342.0;0.0;75342.0;1;1;1;"others"
"ODR1140388270o";"C189144L";"2022-10-07";5680404.0;4089870.0;"Easypay";"iPhone7-Red-256GB";"Mobiles & Tablets";1;5680404.0;0.0;5680404.0;1;0;0;"apple"
"ODR1140968710n";"C194353L";"2021-07-14";79750.0;64554.0;"cod";"Audionic_B-880";"Computing";1;79750.0;0.0;79750.0;1;1;0;"others"
"ODR1141049636k";"C149895L";"2022-07-20";84100.0;59682.0;"cod";"Zia_EN11";"Books";2;168200.0;0.0;168200.0;1;1;0;"others"
"ODR1141613786e";"C224183L";"2022-04-16";80910.0;48546.0;"Easypay";"Liberty_9780670087648";"Books";1;80910.0;0.0;80910.0;1;0;0;"others"
"ODR1145135368o";"C907186L";"2022-02-06";3632192.0;2818452.0;"Easypay";"Samsung_S7 Edge-Black";"Mobiles & Tablets";1;3632192.0;0.0;3632192.0;1;0;0;"samsung"
"ODR1145541340r";"C809029L";"2021-01-10";173942.0;130442.0;"cod";"Bata_Power-8389002-44-10";"Men Fashion";1;173942.0;0.0;173942.0;1;1;1;"others"
"ODR1147600911l";"C864005L";"2021-02-07";1166032.0;965758.0;"internetbanking";"Eco Star_32U557";"Entertainment";1;1166032.0;0.0;1166032.0;1;0;0;"others"
"ODR1149010175i";"C850251L";"2022-06-05";400200.0;277530.0;"cod";"nabila_Nchant FOR Olive";"Beauty & Grooming";1;400200.0;0.0;400200.0;1;1;1;"others"
"ODR1149666725n";"C637564L";"2022-04-08";162400.0;128296.0;"cod";"Herbo Natural_5";"Health & Sports";1;162400.0;0.0;162400.0;1;1;1;"others"
"ODR1149930133q";"C879144L";"2021-11-15";120350.0;80620.0;"cod";"kansai_NeverWet";"Others";10;1203500.0;0.0;1203500.0;1;1;1;"others"
"ODR1150108319c";"C837608L";"2022-02-17";139200.0;115536.0;"cod";"audionic_6954217532172";"Others";1;139200.0;0.0;139200.0;1;1;0;"others"
"ODR1152723373x";"C494158L";"2021-09-14";81142.0;51910.0;"cod";"MEGUIAR_A1214";"Others";1;81142.0;0.0;81142.0;1;1;1;"others"
"ODR1153145615s";"C191776L";"2022-03-08";435000.0;382800.0;"cod";"Ifitness_Mini-Bike";"Health & Sports";1;435000.0;0.0;435000.0;1;1;1;"others"
"ODR1153196366r";"C620963L";"2021-10-20";2291000.0;1855710.0;"cod";"AmanJee_PB003";"Women Fashion";1;2291000.0;0.0;2291000.0;1;0;0;"others"
"ODR1154090783n";"C203544L";"2022-04-20";358730.0;261870.0;"Easypay";"tmx_wtch_ T2E581_4";"Men Fashion";1;358730.0;53809.5;304920.5;1;0;0;"others"
"ODR1156540507x";"C654928L";"2021-11-25";596240.0;512720.0;"cod";"timex_T2P232";"Women Fashion";1;596240.0;0.0;596240.0;1;0;0;"others"
"ODR1157009449l";"C529046L";"2021-12-16";580000.0;382800.0;"cod";"Culzado_CZM-260-42";"Men Fashion";1;580000.0;0.0;580000.0;1;0;0;"others"
"ODR1157061964b";"C706324L";"2022-02-03";290000.0;174000.0;"cod";"ISN_Concentrated-Chocolate-2lbs";"Health & Sports";1;290000.0;0.0;290000.0;1;1;1;"others"
"ODR1157750230b";"C391618L";"2022-01-06";3172020.0;1934880.0;"Easypay";"HP_15AY-15-Ay105NE-ci5";"Computing";1;3172020.0;0.0;3172020.0;1;0;0;"others"
"ODR1158464487p";"C556985L";"2022-03-05";232000.0;171680.0;"cod";"Sigma_1689";"Health & Sports";1;232000.0;0.0;232000.0;1;1;0;"others"
"ODR1160502066z";"C995184L";"2022-01-03";17400.0;14616.0;"cod";"edukaan_7013-A4 - 6 Subjects";"School & Education";1;17400.0;0.0;17400.0;1;1;1;"others"
"ODR1160774599n";"C216698L";"2021-07-31";102138.0;81664.0;"cod";"Audionic_6-954217-534473";"Entertainment";1;102138.0;0.0;102138.0;1;1;0;"others"
"ODR1161254042f";"C355284L";"2021-04-08";312446.0;187456.0;"cod";"sanasafinaz_march16_9A-Nationwide Delivery";"Women Fashion";1;312446.0;0.0;312446.0;1;1;0;"others"
